"","x"
"286498",251
"415789",251
"727773",251
"1422291",251
"469933",251
"1443962",251
"606187",251
"868150",251
"285744",250
"787803",250
"255330",250
"257563",250
"670836",250
"461473",250
"1651042",250
"1124010",250
"552850",250
"1408103",250
"1358757",250
"682362",249
"884287",249
"1194528",249
"33310",249
"343078",249
"175464",249
"702637",249
"233973",249
"328902",249
"748071",249
"1381995",249
"732955",249
"1323240",249
"394343",249
"1182248",249
"658771",249
"1354966",249
"1301542",248
"467351",248
"953435",248
"400328",248
"309760",248
"841911",248
"649102",248
"328696",248
"998194",248
"1564177",248
"839626",248
"1472264",248
"993778",247
"560438",247
"690484",247
"346593",247
"427698",247
"1284363",247
"586927",247
"223545",247
"130314",247
"1696132",247
"1018506",247
"576498",247
"1477578",247
"633760",247
"1574722",247
"825685",247
"1105427",246
"983662",246
"826776",246
"598142",246
"547886",246
"1116895",246
"503798",246
"947153",246
"961448",246
"73070",246
"643190",246
"624228",246
"535433",246
"231246",246
"1357053",246
"683344",246
"700078",246
"1658144",246
"1102450",246
"300064",245
"353998",245
"809877",245
"941980",245
"186411",245
"478619",245
"248945",245
"588208",245
"191102",245
"843451",245
"239847",245
"835581",245
"480518",245
"535475",245
"1290929",245
"628466",245
"1217171",245
"807899",245
"984609",245
"913369",245
"1519842",244
"1034256",244
"156317",244
"788077",244
"359453",244
"686807",244
"519576",244
"405824",244
"180421",244
"641612",244
"1622653",244
"646562",244
"92960",244
"613979",244
"1254085",244
"899132",244
"635513",244
"1276130",244
"643390",243
"1185958",243
"593789",243
"8902",243
"86074",243
"1050709",243
"396137",243
"589347",243
"723010",243
"633263",243
"678734",243
"700302",243
"245374",242
"899036",242
"256182",242
"658238",242
"338851",242
"436041",242
"201041",242
"719036",242
"1179961",242
"1152929",242
"672118",242
"1021584",242
"1355698",242
"1053655",242
"41235",241
"644467",241
"116103",241
"661911",241
"541205",241
"692164",241
"507503",241
"877514",241
"417686",241
"871077",241
"1166155",241
"642307",240
"435188",240
"309754",240
"1167689",240
"620025",240
"644963",240
"586517",240
"274292",240
"1184397",240
"111318",240
"382534",240
"592031",240
"157038",240
"243389",240
"1090276",240
"962287",240
"855078",240
"900362",240
"1464422",240
"1478435",240
"1319269",239
"651801",239
"324024",239
"490294",239
"28646",239
"558088",239
"561171",239
"741799",239
"466151",239
"482841",239
"612652",239
"1211507",239
"270456",239
"105269",239
"590347",239
"1224339",239
"809198",239
"1240321",239
"739973",238
"214566",238
"351962",238
"835045",238
"588798",238
